Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    81    0    0    0    0    2    1    0    1    0 | 95.3%
  1 |     0  125    1    0    0    0    0    0    0    0 | 99.2%
  2 |     0    1  100    3    0    0    1    3    8    0 | 86.2%
  3 |     0    0    0  103    0    3    0    0    1    0 | 96.3%
  4 |     0    0    0    0  105    0    0    0    3    2 | 95.5%
  5 |     0    0    0    1    0   84    2    0    0    0 | 96.6%
  6 |     1    0    0    0    1    4   78    1    2    0 | 89.7%
  7 |     0    0    2    3    0    0    0   87    1    6 | 87.9%
  8 |     1    0    1    4    1    0    0    0   81    1 | 91.0%
  9 |     0    1    0    0    0    1    0    1    0   91 | 96.8%
