Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    82    0    1    0    0    0    1    0    1    0 | 96.5%
  1 |     0  125    0    0    0    0    0    0    1    0 | 99.2%
  2 |     0    0  108    0    0    0    0    0    8    0 | 93.1%
  3 |     0    1    0  104    0    1    0    0    0    1 | 97.2%
  4 |     0    0    2    0  101    0    1    0    2    4 | 91.8%
  5 |     0    0    0    3    1   73    0    0    9    1 | 83.9%
  6 |     3    0    0    0    0    0   83    0    1    0 | 95.4%
  7 |     0    0    2    2    0    0    0   92    1    2 | 92.9%
  8 |     0    0    1    1    0    0    0    0   87    0 | 97.8%
  9 |     0    1    0    0    0    0    0    0    5   88 | 93.6%
