Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    79    0    0    0    1    0    3    0    1    1 | 92.9%
  1 |     0  124    0    1    0    0    0    0    1    0 | 98.4%
  2 |     3    1  100    2    1    0    3    4    1    1 | 86.2%
  3 |     2    0    2   97    0    3    0    2    0    1 | 90.7%
  4 |     0    0    2    0   91    1    4    2    0   10 | 82.7%
  5 |     1    0    0    4    0   76    2    0    3    1 | 87.4%
  6 |     3    0    0    0    1    0   82    0    1    0 | 94.3%
  7 |     0    1    4    0    1    0    0   84    1    8 | 84.8%
  8 |     4    0    2    0    1    0    2    1   70    9 | 78.7%
  9 |     0    1    0    2    0    0    0    0    2   89 | 94.7%
