Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    77    0    1    0    1    0    4    0    2    0 | 90.6%
  1 |     0  122    0    0    0    1    1    0    2    0 | 96.8%
  2 |     6    1   91    0    1    0    2    4   10    1 | 78.4%
  3 |     1    1    2   85    1    8    2    2    4    1 | 79.4%
  4 |     0    2    0    0   93    0    3    2    3    7 | 84.5%
  5 |     1    0    0    1    0   74    4    0    6    1 | 85.1%
  6 |     4    0    0    0    2    3   77    0    1    0 | 88.5%
  7 |     1    1    0    4    2    0    0   85    2    4 | 85.9%
  8 |     0    0    2    0    1    4    2    2   75    3 | 84.3%
  9 |     0    1    0    0   10    0    0    5    4   74 | 78.7%
