Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    83    0    0    0    0    0    1    0    1    0 | 97.6%
  1 |     0  124    0    1    0    0    0    0    1    0 | 98.4%
  2 |     0    0  104    3    1    1    0    4    2    1 | 89.7%
  3 |     0    0    0  105    0    2    0    0    0    0 | 98.1%
  4 |     0    0    1    0   99    0    1    2    1    6 | 90.0%
  5 |     0    0    0    2    0   84    1    0    0    0 | 96.6%
  6 |     2    0    0    0    0    3   82    0    0    0 | 94.3%
  7 |     0    0    1    6    0    0    0   88    1    3 | 88.9%
  8 |     2    0    1    4    0    3    0    1   76    2 | 85.4%
  9 |     0    0    0    1    1    0    0    5    1   86 | 91.5%
