Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    82    0    1    0    0    0    1    0    0    1 | 96.5%
  1 |     0  124    1    0    0    1    0    0    0    0 | 98.4%
  2 |     1    1  104    4    1    0    2    2    0    1 | 89.7%
  3 |     0    0    1  103    0    3    0    0    0    0 | 96.3%
  4 |     0    2    0    0  102    0    1    1    1    3 | 92.7%
  5 |     0    0    0    1    0   84    0    0    2    0 | 96.6%
  6 |     2    0    0    0    0    1   84    0    0    0 | 96.6%
  7 |     0    1    2    5    1    0    0   87    1    2 | 87.9%
  8 |     0    0    2    3    0    0    1    0   81    2 | 91.0%
  9 |     0    1    0    0    1    1    0    1    2   88 | 93.6%
