Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    80    0    0    0    0    4    0    0    1    0 | 94.1%
  1 |     0  123    0    1    0    0    1    0    1    0 | 97.6%
  2 |     0    0  107    5    0    0    0    2    2    0 | 92.2%
  3 |     0    0    0  102    0    3    0    0    1    1 | 95.3%
  4 |     0    1    0    0  104    0    0    0    2    3 | 94.5%
  5 |     0    0    0    2    0   79    0    1    2    3 | 90.8%
  6 |     5    0    0    0    0    2   76    0    4    0 | 87.4%
  7 |     0    2    1    8    0    0    0   86    0    2 | 86.9%
  8 |     1    0    0    7    1    1    0    2   74    3 | 83.1%
  9 |     0    2    0    3    3    0    0    0    2   84 | 89.4%
