Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    80    0    0    0    0    1    2    1    1    0 | 94.1%
  1 |     0  125    0    1    0    0    0    0    0    0 | 99.2%
  2 |     0    3  104    1    0    0    2    4    2    0 | 89.7%
  3 |     0    0    2  100    0    2    0    0    2    1 | 93.5%
  4 |     0    1    1    0  102    0    1    0    2    3 | 92.7%
  5 |     0    0    0    3    0   71    1    4    5    3 | 81.6%
  6 |     4    0    0    0    1    0   81    0    1    0 | 93.1%
  7 |     0    1    0    3    0    0    0   95    0    0 | 96.0%
  8 |     2    1    0    7    1    0    3    4   68    3 | 76.4%
  9 |     0    1    0    1    5    0    0    4    1   82 | 87.2%
