Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   81    0    0    0    1    0    2    1    0    0
  1 |    0  124    1    1    0    0    0    0    0    0
  2 |    0    3   99    5    0    0    1    4    4    0
  3 |    0    2    1   97    0    5    0    0    1    1
  4 |    0    2    1    1   95    0    1    3    1    6
  5 |    0    0    1    1    0   78    0    2    4    1
  6 |    3    0    0    0    1    2   81    0    0    0
  7 |    0    0    2    2    1    0    0   93    0    1
  8 |    0    1    1    5    1    0    0    3   75    3
  9 |    0    2    0    1    4    0    0    6    2   79
