Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   75    0    2    1    0    1    3    0    1    2
  1 |    0  121    0    2    0    0    1    0    2    0
  2 |    0    2   96    4    0    0    3    4    4    3
  3 |    2    0    5   88    0    5    0    2    5    0
  4 |    0    1    0    0   90    0    3    1    2   13
  5 |    1    0    0    3    0   75    2    0    5    1
  6 |    2    0    4    0    2    0   79    0    0    0
  7 |    0    3    2    2    3    0    0   85    0    4
  8 |    1    0    4    2    0    0    1    0   76    5
  9 |    0    1    1    3    1    0    0    3    3   82
