Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   76    0    0    0    1    0    3    1    3    1
  1 |    0  126    0    0    0    0    0    0    0    0
  2 |    0    0  104    4    0    1    1    4    2    0
  3 |    0    0    2   99    0    2    0    2    2    0
  4 |    0    0    1    0   96    0    0    4    1    8
  5 |    0    0    0    2    0   72    1    2    9    1
  6 |    4    0    0    0    1    1   81    0    0    0
  7 |    0    0    2    2    2    0    0   90    0    3
  8 |    3    0    2    3    2    0    0    1   75    3
  9 |    0    1    0    0    3    0    0    2    4   84
