Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   77    0    1    0    0    0    5    0    2    0
  1 |    0  124    1    0    0    0    0    0    1    0
  2 |    3    1   97    3    0    0    3    4    5    0
  3 |    1    1    1   96    0    1    0    3    3    1
  4 |    0    2    0    0   95    1    2    3    1    6
  5 |    0    0    0    2    0   74    0    1    8    2
  6 |    2    0    0    0    0    0   83    0    2    0
  7 |    0    0    1    3    2    0    0   92    0    1
  8 |    1    0    4    6    1    0    0    5   70    2
  9 |    0    1    0    3    8    0    0    6    0   76
