Confusion Matrix
(rows = actual, columns = predicted)

         0    1    2    3    4    5    6    7    8    9
     --------------------------------------------------
  0 |   80    0    1    0    0    0    1    0    3    0
  1 |    0  125    1    0    0    0    0    0    0    0
  2 |    0    0  104    4    2    0    0    2    4    0
  3 |    0    0    7   94    0    0    1    3    1    1
  4 |    2    0    1    1   95    1    1    0    2    7
  5 |    1    0    0   10    0   64    2    0    9    1
  6 |    3    0    1    0    1    0   81    0    1    0
  7 |    0    0    4    2    1    0    0   91    0    1
  8 |    1    0    2    9    1    0    0    1   75    0
  9 |    0    0    0    1    2    0    0    5    3   83
