Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   83    0    0    0    0    1    0    0    0    1
  1 |    0  125    1    0    0    0    0    0    0    0
  2 |    0    0  110    2    0    0    1    3    0    0
  3 |    0    0    0  102    0    3    0    1    1    0
  4 |    0    1    1    0  104    0    2    0    0    2
  5 |    2    0    0    2    0   80    0    1    2    0
  6 |    3    0    0    0    0    4   80    0    0    0
  7 |    0    1    4    3    0    1    0   89    0    1
  8 |    2    0    1    5    1    0    0    0   78    2
  9 |    0    0    0    0    0    0    0    2    3   89
