Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   84    0    0    0    0    0    1    0    0    0
  1 |    0  125    0    1    0    0    0    0    0    0
  2 |    1    0  104    2    0    0    1    4    4    0
  3 |    0    0    0  105    0    2    0    0    0    0
  4 |    0    0    2    0  103    0    2    0    1    2
  5 |    1    0    0    2    0   79    1    1    3    0
  6 |    3    0    0    0    0    1   83    0    0    0
  7 |    0    1    4    0    1    0    0   89    3    1
  8 |    1    0    0    4    2    0    0    0   82    0
  9 |    0    1    0    0    6    0    0    1    3   83
