Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   81    0    1    0    0    0    1    0    0    2
  1 |    0  125    0    0    0    0    0    0    1    0
  2 |    0    1  104    2    0    0    2    3    2    2
  3 |    0    1    9   90    0    3    1    2    0    1
  4 |    0    0    1    0   98    1    6    1    1    2
  5 |    1    0    1    1    1   78    2    0    3    0
  6 |    2    0    0    0    0    2   83    0    0    0
  7 |    0    3    3    0    0    0    0   87    0    6
  8 |    3    0    2    2    1    0    1    2   73    5
  9 |    0    1    1    1    2    0    0    1    1   87
