Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   84    0    0    0    0    1    0    0    0    0
  1 |    0  125    0    1    0    0    0    0    0    0
  2 |    2    1  105    1    0    0    1    5    1    0
  3 |    1    0    0  103    0    2    0    0    1    0
  4 |    0    0    1    0  104    0    0    0    0    5
  5 |    0    0    0    0    0   86    0    0    1    0
  6 |    2    0    0    0    0    1   83    0    1    0
  7 |    0    1    1    2    0    0    0   93    0    2
  8 |    1    0    1    2    0    1    0    2   81    1
  9 |    0    0    0    0    2    0    0    2    4   86
