Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   79    0    0    0    0    1    1    0    2    2
  1 |    0  124    0    0    0    0    1    0    1    0
  2 |    2    0  103    2    0    0    1    3    3    2
  3 |    1    0    2   96    1    3    0    0    2    2
  4 |    0    0    0    0  101    0    2    0    1    6
  5 |    0    0    0    0    0   84    1    0    2    0
  6 |    4    0    0    0    2    1   80    0    0    0
  7 |    0    0    4    1    0    0    0   89    1    4
  8 |    2    0    1    3    2    1    0    0   75    5
  9 |    0    1    0    2    0    0    0    1    2   88
