Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   83    0    1    1    0    0    0    0    0    0
  1 |    0  124    0    1    0    1    0    0    0    0
  2 |    1    2  106    1    0    0    1    3    1    1
  3 |    1    1    2   97    0    4    1    1    0    0
  4 |    2    0    1    0  102    0    0    2    1    2
  5 |    1    0    0    3    1   75    1    1    5    0
  6 |    3    0    0    0    0    0   84    0    0    0
  7 |    0    3    1    2    0    0    0   89    0    4
  8 |    5    0    2    2    1    0    0    0   77    2
  9 |    0    1    0    1    4    0    0    1    2   85
