Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    84    0    0    0    0    0    1    0    0    0 | 98.8%
  1 |     0  126    0    0    0    0    0    0    0    0 | 100.0%
  2 |     1    0  108    2    0    0    1    3    1    0 | 93.1%
  3 |     1    2    2   94    0    7    0    0    0    1 | 87.9%
  4 |     0    0    1    0  105    0    2    0    1    1 | 95.5%
  5 |     0    0    0    1    0   83    1    0    1    1 | 95.4%
  6 |     4    0    0    0    1    1   81    0    0    0 | 93.1%
  7 |     0    0    3    0    0    0    0   96    0    0 | 97.0%
  8 |     2    0    1    3    1    0    0    0   82    0 | 92.1%
  9 |     0    1    0    0    2    0    0    2    2   87 | 92.6%
