Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    80    0    0    1    0    2    0    0    2    0 | 94.1%
  1 |     0  125    0    0    0    1    0    0    0    0 | 99.2%
  2 |     2    1   98    5    0    0    1    6    2    1 | 84.5%
  3 |     1    0    2   95    0    6    1    1    1    0 | 88.8%
  4 |     0    2    2    0   98    1    1    0    2    4 | 89.1%
  5 |     1    0    0    2    1   67    7    2    7    0 | 77.0%
  6 |     1    0    0    0    0    2   83    0    1    0 | 95.4%
  7 |     0    2    1    2    3    0    0   87    3    1 | 87.9%
  8 |     2    0    0    2    1    0    0    1   81    2 | 91.0%
  9 |     0    1    1    0    2    0    0    2    4   84 | 89.4%
