Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    79    0    1    0    0    0    4    0    1    0 | 92.9%
  1 |     0  125    0    0    0    1    0    0    0    0 | 99.2%
  2 |     2    0  103    4    0    0    1    4    1    1 | 88.8%
  3 |     1    0    0  101    0    2    0    1    1    1 | 94.4%
  4 |     0    3    0    0  100    0    1    2    0    4 | 90.9%
  5 |     0    0    0    1    0   82    1    0    2    1 | 94.3%
  6 |     2    0    0    0    0    1   84    0    0    0 | 96.6%
  7 |     0    0    3    3    1    0    0   89    0    3 | 89.9%
  8 |     0    0    4    5    1    1    2    1   72    3 | 80.9%
  9 |     0    1    0    2    2    0    0    2    1   86 | 91.5%
