Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    84    0    0    0    0    0    1    0    0    0 | 98.8%
  1 |     0  125    0    1    0    0    0    0    0    0 | 99.2%
  2 |     2    0  105    4    0    0    0    4    0    1 | 90.5%
  3 |     0    0    1  103    0    2    0    0    1    0 | 96.3%
  4 |     0    0    0    0   99    0    2    2    1    6 | 90.0%
  5 |     0    0    0    2    0   82    1    0    2    0 | 94.3%
  6 |     1    0    0    0    1    1   84    0    0    0 | 96.6%
  7 |     0    0    1    2    2    0    0   90    0    4 | 90.9%
  8 |     0    0    0    3    0    0    0    1   83    2 | 93.3%
  9 |     0    1    0    0    2    0    0    1    1   89 | 94.7%
