Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    78    0    1    0    0    0    5    0    1    0 | 91.8%
  1 |     0  123    0    1    0    1    1    0    0    0 | 97.6%
  2 |     3    1  100    4    3    0    0    1    3    1 | 86.2%
  3 |     1    0    4   89    1    2    4    1    4    1 | 83.2%
  4 |     0    1    0    1   97    0    0    1    4    6 | 88.2%
  5 |     1    0    0    2    0   65    4    1   12    2 | 74.7%
  6 |     4    0    0    1    0    2   80    0    0    0 | 92.0%
  7 |     2    2    0    1    2    0    0   85    2    5 | 85.9%
  8 |     0    0    4    5    0    4    3    1   68    4 | 76.4%
  9 |     0    1    0    1    6    2    0    2    4   78 | 83.0%
