Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    79    0    0    0    1    2    1    0    2    0 | 92.9%
  1 |     0  120    1    1    0    0    1    0    3    0 | 95.2%
  2 |     4    3   89    0    3    0    1    3   11    2 | 76.7%
  3 |     1    0    2   87    2    7    2    2    2    2 | 81.3%
  4 |     0    2    0    0   87    0    0    1    5   15 | 79.1%
  5 |     0    0    0    5    0   74    2    1    3    2 | 85.1%
  6 |     7    2    0    0    4    2   71    0    1    0 | 81.6%
  7 |     0    4    3    2    2    0    0   81    1    6 | 81.8%
  8 |     1    0    2    3    3    1    0    0   73    6 | 82.0%
  9 |     0    1    0    0    8    1    0    3    3   78 | 83.0%
