Confusion Matrix (rows=true, cols=predicted)
============================================================

          0    1    2    3    4    5    6    7    8    9
------------------------------------------------------------
  0 |    75    0    4    3    0    0    2    0    1    0 | 88.2%
  1 |     1  113    0    4    1    2    0    3    2    0 | 89.7%
  2 |    16    4   65    7    0    1    2    7    8    6 | 56.0%
  3 |     1    0    7   83    1    7    2    4    2    0 | 77.6%
  4 |     1    1    0    1   84    1    2    5    4   11 | 76.4%
  5 |     4    0    0    4    2   60    4    0   12    1 | 69.0%
  6 |     3    0    3    0    6    7   66    1    1    0 | 75.9%
  7 |     0    5    2    4    2    0    0   74    3    9 | 74.7%
  8 |     2    0    0    7    1    5    2    1   66    5 | 74.2%
  9 |     0    1    1    0    1    0    0    2    6   83 | 88.3%
