Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   73    0    1    1    1    0    1    0    7    1
  1 |    0  124    1    0    0    0    0    0    1    0
  2 |    0    3   98    6    0    0    1    7    1    0
  3 |    0    1    3   91    0    7    0    2    3    0
  4 |    0    2    2    0   98    1    1    1    1    4
  5 |    1    0    1    1    0   73    0    2    9    0
  6 |    3    0    0    0    1    1   82    0    0    0
  7 |    0    1    0    2    0    0    0   95    0    1
  8 |    2    0    2    5    1    0    0    4   74    1
  9 |    0    1    0    0    6    0    0    8    3   76
