Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   75    0    1    0    1    1    2    0    0    5
  1 |    0  123    2    0    1    0    0    0    0    0
  2 |    1    1   99    3    0    0    1    7    1    3
  3 |    0    0    5   87    0    8    2    2    1    2
  4 |    2    0    2    0   95    0    1    1    2    7
  5 |    0    1    0    2    0   70    4    1    7    2
  6 |    2    0    0    0    0    2   81    2    0    0
  7 |    0    0    4    0    1    0    0   85    0    9
  8 |    2    0    0    3    1    1    3    4   71    4
  9 |    0    1    0    0    5    0    0    1    2   85
