Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   83    0    0    0    0    1    0    0    1    0
  1 |    0  125    0    1    0    0    0    0    0    0
  2 |    2    0  105    4    0    0    2    2    0    1
  3 |    0    1    1   98    0    4    0    0    3    0
  4 |    0    0    1    0   95    0    1    1    2   10
  5 |    1    0    0    2    1   81    1    1    0    0
  6 |    1    0    0    0    0    2   83    0    1    0
  7 |    0    0    2    1    1    0    0   89    0    6
  8 |    3    0    2    3    1    0    0    3   74    3
  9 |    0    0    0    0    1    1    0    3    1   88
