Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   68    0    4    1    0    4    1    0    7    0
  1 |    0  121    0    0    1    0    3    1    0    0
  2 |    4    0   97    7    0    1    2    2    3    0
  3 |    3    0    7   90    1    0    2    0    1    3
  4 |    0    3    0    0   96    0    4    1    4    2
  5 |    4    0    0    8    0   64    3    1    4    3
  6 |    8    0    2    1    2    1   68    0    5    0
  7 |    1    1    1    5    1    0    0   87    1    2
  8 |    3    0    7    8    1    6    6    1   52    5
  9 |    0    1    1    3    3    0    0   10    1   75
