Confusion Matrix
(rows = actual, columns = predicted)

         0    1    2    3    4    5    6    7    8    9
     --------------------------------------------------
  0 |   81    0    0    0    0    1    1    0    0    2
  1 |    0  126    0    0    0    0    0    0    0    0
  2 |    0    1   94    8    2    0    1    5    5    0
  3 |    0    0    0   97    0    3    2    2    2    1
  4 |    2    0    1    1   98    0    0    0    0    8
  5 |    0    0    0    3    0   80    1    0    2    1
  6 |    4    0    0    0    2    2   79    0    0    0
  7 |    0    0    2    0    0    0    0   92    1    4
  8 |    6    2    1    3    3    4    0    3   64    3
  9 |    0    0    0    2    1    0    0    4    2   85
