Grid Search Results
==================
Run: 2026-02-09 01:03:15
Total time: 125.4 minutes

Layers, Filters, N_Pass, Accuracy, Status
--------------------------------------------------
2, 6, 6, 76.30%, success
2, 6, 5, 77.20%, success
2, 6, 4, 75.70%, success
2, 6, 3, 68.20%, success
2, 6, 2, 78.70%, success
2, 6, 1, 76.80%, success
2, 7, 7, 79.60%, success
2, 7, 6, 77.40%, success
2, 7, 5, 79.70%, success
2, 7, 4, 76.90%, success
2, 7, 3, 78.30%, success
2, 7, 2, 72.40%, success
2, 8, 8, N/A, skipped
2, 8, 7, 76.90%, success
2, 8, 6, N/A, skipped
2, 8, 5, 77.20%, success
2, 8, 4, N/A, skipped
2, 8, 3, 75.70%, success
2, 9, 9, 76.80%, success
2, 9, 8, 81.70%, success
2, 9, 7, 79.30%, success
2, 9, 6, 77.00%, success
2, 9, 5, 80.30%, success
2, 9, 4, 82.60%, success
2, 10, 10, 78.40%, success
2, 10, 9, 78.80%, success
2, 10, 8, 83.00%, success
2, 10, 7, 79.60%, success
2, 10, 6, 76.20%, success
2, 10, 5, 79.60%, success
3, 6, 6, 18.80%, success
3, 6, 5, 13.30%, success
3, 6, 4, 19.90%, success
3, 6, 3, 23.50%, success
3, 6, 2, 18.80%, success
3, 6, 1, 15.20%, success
3, 7, 7, 27.40%, success
3, 7, 6, 18.50%, success
3, 7, 5, 13.90%, success
3, 7, 4, 30.10%, success
3, 7, 3, 34.00%, success
3, 7, 2, 25.70%, success
3, 8, 8, 25.80%, success
3, 8, 7, 30.80%, success
3, 8, 6, 22.40%, success
3, 8, 5, 22.10%, success
3, 8, 4, 22.00%, success
3, 8, 3, 26.50%, success
3, 9, 9, 22.90%, success
3, 9, 8, 20.60%, success
3, 9, 7, 16.60%, success
3, 9, 6, 18.30%, success
3, 9, 5, 26.30%, success
3, 9, 4, 32.20%, success
3, 10, 10, 31.20%, success
3, 10, 9, 20.50%, success
3, 10, 8, 23.50%, success
3, 10, 7, 25.40%, success
3, 10, 6, 18.90%, success
3, 10, 5, 20.90%, success
4, 6, 6, N/A, error
4, 6, 5, N/A, error
4, 6, 4, N/A, error
4, 6, 3, N/A, error
4, 6, 2, N/A, error
4, 6, 1, N/A, error
4, 7, 7, N/A, error
4, 7, 6, N/A, error
4, 7, 5, N/A, error
4, 7, 4, N/A, error
4, 7, 3, N/A, error
4, 7, 2, N/A, error
4, 8, 8, N/A, error
4, 8, 7, N/A, error
4, 8, 6, N/A, error
4, 8, 5, N/A, error
4, 8, 4, N/A, error
4, 8, 3, N/A, error
4, 9, 9, N/A, error
4, 9, 8, N/A, error
4, 9, 7, N/A, error
4, 9, 6, N/A, error
4, 9, 5, N/A, error
4, 9, 4, N/A, error
4, 10, 10, N/A, error
4, 10, 9, N/A, error
4, 10, 8, N/A, error
4, 10, 7, N/A, error
4, 10, 6, N/A, error
4, 10, 5, N/A, error
