model,config,accuracy,active_bits_mean,train_time_s
lut,"{""N_T"": 4, ""EMBED_DIM"": 16, ""N_GRID"": 2}",49.53,147.6,49.88
lut,"{""N_T"": 4, ""EMBED_DIM"": 16, ""N_GRID"": 4}",42.72,356.7,128.7
lut,"{""N_T"": 4, ""EMBED_DIM"": 32, ""N_GRID"": 2}",46.99,212.4,50.07
lut,"{""N_T"": 4, ""EMBED_DIM"": 32, ""N_GRID"": 4}",53.29,508.4,129.26
lut,"{""N_T"": 8, ""EMBED_DIM"": 16, ""N_GRID"": 2}",84.99,196.4,51.65
lut,"{""N_T"": 8, ""EMBED_DIM"": 16, ""N_GRID"": 4}",80.74,463.6,133.54
lut,"{""N_T"": 8, ""EMBED_DIM"": 32, ""N_GRID"": 2}",86.01,289.0,51.99
lut,"{""N_T"": 8, ""EMBED_DIM"": 32, ""N_GRID"": 4}",82.97,732.5,135.11
lut,"{""N_T"": 8, ""EMBED_DIM"": 64, ""N_GRID"": 4}",84.79,1113.7,137.22
lut,"{""N_T"": 16, ""EMBED_DIM"": 32, ""N_GRID"": 4}",91.92,932.0,145.02
lut,"{""N_T"": 16, ""EMBED_DIM"": 32, ""N_GRID"": 7}",90.12,2321.1,388.06
lut,"{""N_T"": 16, ""EMBED_DIM"": 64, ""N_GRID"": 4}",93.1,1388.3,148.71
lut,"{""N_T"": 32, ""EMBED_DIM"": 32, ""N_GRID"": 4}",95.07,1284.0,164.45
lut,"{""N_T"": 32, ""EMBED_DIM"": 64, ""N_GRID"": 4}",96.03,1859.0,173.43
lut,"{""N_T"": 32, ""EMBED_DIM"": 64, ""N_GRID"": 7}",95.47,4670.7,467.26
