Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   75    0    0    3    1    1    2    1    2    0
  1 |    0  124    0    1    0    0    1    0    0    0
  2 |    3    3   90    5    0    0    1    6    7    1
  3 |    0    1    1   96    0    3    2    1    2    1
  4 |    0    1    0    0   96    0    2    1    1    9
  5 |    1    0    0    8    1   67    4    3    2    1
  6 |    4    0    0    1    4    2   76    0    0    0
  7 |    0    2    1    1    1    0    0   89    1    4
  8 |    1    1    0    9    1    2    0    0   71    4
  9 |    0    0    0    3    4    0    0    8    4   75
