Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   76    0    1    2    1    2    1    1    0    1
  1 |    0  124    1    0    0    1    0    0    0    0
  2 |    1    0  101    2    1    0    2    2    5    2
  3 |    0    1    1   91    0    6    0    1    5    2
  4 |    0    0    1    1  101    0    0    1    1    5
  5 |    1    0    1    1    0   79    1    1    2    1
  6 |    3    0    0    0    3    5   76    0    0    0
  7 |    0    1    2    1    0    0    0   88    0    7
  8 |    2    1    1    4    1    2    0    3   72    3
  9 |    0    1    0    2    6    1    0    2    0   82
