Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   82    0    0    0    0    1    1    0    1    0
  1 |    0  124    0    1    0    0    1    0    0    0
  2 |    1    1  106    2    0    0    1    2    3    0
  3 |    1    0    0  100    0    4    1    1    0    0
  4 |    0    0    0    0  106    0    3    0    0    1
  5 |    0    0    0    1    1   81    1    0    3    0
  6 |    3    0    0    0    0    1   83    0    0    0
  7 |    0    1    4    3    0    1    0   89    0    1
  8 |    0    0    3    3    0    0    0    0   82    1
  9 |    0    1    0    0    6    0    0    0    4   83
