Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   81    0    0    0    1    1    2    0    0    0
  1 |    0  123    1    1    0    0    0    0    1    0
  2 |    1    1  102    1    2    0    1    6    1    1
  3 |    0    1    5   87    0    7    2    3    1    1
  4 |    0    0    2    0   87    1    2    2    2   14
  5 |    2    1    1    2    0   68    2    1    7    3
  6 |    2    0    2    0    1    3   78    0    0    1
  7 |    0    1    4    0    0    0    0   84    1    9
  8 |    1    0    1    1    1    1    0    1   79    4
  9 |    0    1    0    0    5    0    0    2    3   83
