Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   81    0    0    0    1    1    1    0    1    0
  1 |    0  125    1    0    0    0    0    0    0    0
  2 |    1    0  111    1    0    0    1    2    0    0
  3 |    0    0    2   99    0    4    1    0    1    0
  4 |    0    0    0    0  105    0    1    1    0    3
  5 |    1    0    0    0    0   85    0    0    1    0
  6 |    2    0    1    0    0    3   81    0    0    0
  7 |    0    1    4    0    1    1    0   90    0    2
  8 |    0    0    2    0    1    0    0    2   83    1
  9 |    0    1    0    0    0    0    0    0    1   92
