Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   84    0    0    0    0    0    1    0    0    0
  1 |    0  123    1    1    0    1    0    0    0    0
  2 |    2    1  100    1    0    0    1    5    3    3
  3 |    1    0    1  103    0    2    0    0    0    0
  4 |    1    0    1    0   92    1    2    0    0   13
  5 |    1    0    0    4    0   79    0    1    2    0
  6 |    4    0    0    0    0    2   79    0    2    0
  7 |    0    1    4    1    1    0    0   87    0    5
  8 |    3    0    1    3    2    0    0    2   75    3
  9 |    0    1    1    0    1    0    0    3    1   87
