Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   82    0    1    0    0    0    1    0    1    0
  1 |    0  125    0    0    0    0    0    0    1    0
  2 |    1    0  102    3    0    0    0    2    7    1
  3 |    1    0    0  101    0    1    0    0    2    2
  4 |    0    0    1    0   94    0    2    1    2   10
  5 |    0    0    1    3    0   78    1    0    3    1
  6 |    2    0    0    0    1    1   83    0    0    0
  7 |    0    0    2    1    0    0    0   93    0    3
  8 |    1    0    0    1    1    0    0    0   84    2
  9 |    0    0    0    1    0    0    0    1    1   91
