Confusion Matrix
============================================================
Rows = True label, Columns = Predicted label

         0    1    2    3    4    5    6    7    8    9
     ---------------------------------------------
  0 |   74    0    2    0    0    0    1    0    7    1
  1 |    0  123    1    1    0    0    0    0    1    0
  2 |    1    1  102    4    2    0    1    2    3    0
  3 |    0    0    5   91    0    6    1    3    1    0
  4 |    1    0    1    2   97    1    2    2    2    2
  5 |    1    0    0    4    2   70    2    3    4    1
  6 |    3    0    1    0    3    4   75    0    1    0
  7 |    0    2    5    4    0    1    0   84    0    3
  8 |    3    0    2    4    1    1    0    1   75    2
  9 |    1    0    0    3   14    0    0    9    2   65
